strength,date,,filename
297,2012-12-23.3,2012-12-18,AR_LIST_2012.12.18_12:00:00.txt
232,2012-12-23.8,2012-12-19,AR_LIST_2012.12.19_00:00:00.txt
228,2012-12-23.3,2012-12-19,AR_LIST_2012.12.19_12:00:00.txt
68,2012-12-23.8,2012-12-20,AR_LIST_2012.12.20_00:00:00.txt
75,2012-12-23.3,2012-12-20,AR_LIST_2012.12.20_12:00:00.txt
63,2012-12-23.9,2012-12-21,AR_LIST_2012.12.21_00:00:00.txt
57,2012-12-23.4,2012-12-21,AR_LIST_2012.12.21_12:00:00.txt
38,2012-12-23.9,2012-12-22,AR_LIST_2012.12.22_00:00:00.txt
455,2013-01-01.4,2012-12-22,AR_LIST_2012.12.22_00:00:00.txt
475,2012-12-31.8,2012-12-22,AR_LIST_2012.12.22_12:00:00.txt
744,2013-01-01.4,2012-12-23,AR_LIST_2012.12.23_00:00:00.txt
668,2012-12-31.8,2012-12-23,AR_LIST_2012.12.23_12:00:00.txt
876,2013-01-01.5,2012-12-24,AR_LIST_2012.12.24_00:00:00.txt
761,2013-01-01.0,2012-12-24,AR_LIST_2012.12.24_12:00:00.txt
745,2013-01-01.6,2012-12-25,AR_LIST_2012.12.25_00:00:00.txt
515,2013-01-01.1,2012-12-25,AR_LIST_2012.12.25_12:00:00.txt
414,2013-01-01.7,2012-12-26,AR_LIST_2012.12.26_00:00:00.txt
58,2013-01-01.5,2012-12-26,AR_LIST_2012.12.26_12:00:00.txt
9,2013-01-02.3,2012-12-27,AR_LIST_2012.12.27_00:00:00.txt
405,2012-12-30.7,2012-12-30,AR_LIST_2012.12.30_00:00:00.txt
324,2012-12-30.3,2012-12-30,AR_LIST_2012.12.30_12:00:00.txt
57,2012-12-31.1,2012-12-31,AR_LIST_2012.12.31_00:00:00.txt
619,2013-01-01.5,2012-12-31,AR_LIST_2012.12.31_00:00:00.txt
